,industry,name,symbol
0,专用设备,锦浪科技,300763
1,专用设备,明阳智能,601615
2,专用设备,宇晶股份,002943
3,专用设备,锋龙股份,002931
4,专用设备,宝色股份,300402
5,专用设备,中船应急,300527
6,专用设备,奥特维,688516
7,专用设备,宁波东力,002164
8,专用设备,帝尔激光,300776
9,专用设备,雪浪环境,300385
10,专用设备,昌红科技,300151
11,专用设备,浙矿股份,300837
12,专用设备,博杰股份,002975
13,专用设备,上机数控,603185
14,专用设备,东方精工,002611
15,专用设备,天永智能,603895
16,专用设备,雄帝科技,300546
17,专用设备,劲拓股份,300400
18,专用设备,晶澳科技,002459
19,专用设备,三达膜,688101
20,专用设备,运达股份,300772
21,专用设备,英杰电气,300820
22,专用设备,杭可科技,688006
23,专用设备,科安达,002972
24,专用设备,迈为股份,300751
25,专用设备,清溢光电,688138
26,专用设备,久吾高科,300631
27,专用设备,欧普康视,300595
28,专用设备,杰克股份,603337
29,专用设备,优德精密,300549
30,专用设备,应流股份,603308
31,专用设备,安徽合力,600761
32,专用设备,森远股份,300210
33,专用设备,长城军工,601606
34,专用设备,先导智能,300450
35,专用设备,中兵红箭,000519
36,专用设备,捷佳伟创,300724
37,专用设备,芯源微,688037
38,专用设备,法兰泰克,603966
39,专用设备,开立医疗,300633
40,专用设备,达刚控股,300103
41,专用设备,和科达,002816
42,专用设备,爱司凯,300521
43,专用设备,华兴源创,688001
44,专用设备,铂力特,688333
45,专用设备,天奥电子,002935
46,专用设备,大连重工,002204
47,专用设备,北玻股份,002613
48,专用设备,汇金股份,300368
49,专用设备,稳健医疗,300888
50,专用设备,东杰智能,300486
51,专用设备,海默科技,300084
52,专用设备,佰奥智能,300836
53,专用设备,长川科技,300604
54,专用设备,吉鑫科技,601218
55,专用设备,古鳌科技,300551
56,专用设备,*ST海源,002529
57,专用设备,瑞鹄模具,002997
58,专用设备,航天晨光,600501
59,专用设备,兰石重装,603169
60,专用设备,京源环保,688096
61,专用设备,清源股份,603628
